Partido_ID,Local,Visitante,Goles_Local,Goles_Visitante,Local_GF_Prom,Local_GC_Prom,Visita_GF_Prom,Visita_GC_Prom,Target_Ganador
327,Ipswich Town,Arsenal,0,4,1.4375,2.125,2.0,0.75,2
328,Man United,Wolves,0,1,0.8125,1.4375,1.8125,1.0,2
329,Leicester City,Liverpool,0,1,0.5,2.375,1.75,1.3125,2
330,Tottenham,Nott'm Forest,1,2,1.5625,1.625,1.375,1.375,2
331,Man City,Aston Villa,2,1,1.9375,1.0,2.75,1.125,1
332,Arsenal,Crystal Palace,2,2,2.375,0.75,1.1875,2.1875,0
333,Chelsea,Everton,1,0,1.3125,1.0,0.9375,1.125,1
334,Brighton,West Ham,3,2,1.75,2.375,1.0625,1.3125,1
335,Newcastle,Ipswich Town,3,0,2.5625,1.6875,1.125,2.5,1
336,Southampton,Fulham,1,2,0.75,2.4375,1.375,1.5,2
337,Wolves,Leicester City,3,0,1.875,0.9375,0.375,2.25,1
338,AFC Bournemouth,Man United,1,1,1.0625,1.125,0.75,1.5,0
339,Liverpool,Tottenham,5,1,1.6875,1.25,1.6875,1.75,1
340,Nott'm Forest,Brentford,0,2,1.625,1.25,1.5,1.0,2
341,Man City,Wolves,1,0,2.25,0.875,2.0625,0.8125,1
342,Aston Villa,Fulham,1,0,2.5,1.25,1.25,1.375,1
343,Everton,Ipswich Town,2,2,0.6875,1.0625,0.9375,2.6875,0
344,Leicester City,Southampton,2,0,0.375,2.1875,0.6875,2.375,1
345,Arsenal,AFC Bournemouth,1,2,1.875,0.9375,1.0,0.9375,2
346,Brentford,Man United,4,3,1.875,0.875,0.9375,1.5625,1
347,Brighton,Newcastle,1,1,2.1875,2.0625,2.5625,1.4375,0
